name,principal component 0,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9,principal component 10,principal component 11,principal component 12,principal component 13,principal component 14,principal component 15,principal component 16,principal component 17,principal component 18,principal component 19,principal component 20,principal component 21,principal component 22,principal component 23,principal component 24,principal component 25,principal component 26,principal component 27,principal component 28,principal component 29,principal component 30,principal component 31,principal component 32,principal component 33,principal component 34,principal component 35,Class
grieta187.jpg,-0.7951070050029396,-0.22340128501552328,-0.026876186283439397,-0.010681606386887175,-0.02357916438503097,-0.0139131026804567,-0.2796312283932458,-0.044593447746737326,-0.11752414833180817,-0.0636323658590239,-0.04404068649914424,-0.0845860298218713,0.023366819626085538,0.10414783875747259,0.09897839021348831,0.06047911654253245,0.08593846332192992,-0.07894340983565493,-0.09137300851217768,-0.11069379394034436,0.031531679712217396,0.028795375928520148,0.05507515178479758,-0.015492697407385144,-0.09436207442814622,0.010194150695076783,-0.0176747764162309,-0.038048774652348814,-0.0549458668867927,-0.045601465351337946,-0.004975341818807074,0.012976248063316102,0.018045691036910824,-0.024977550044368656,9.552660631102917e-05,-0.007381746548791038,G-Transverse
grieta188.jpg,-0.7932738273601776,-0.19988969917232816,-0.03326354759452314,-0.03143443290513275,0.010920535452157064,-0.017290252207493098,-0.2696416675704255,-0.035264561201170094,-0.09119825556391739,-0.10028573546434011,-0.03622539934000972,-0.07428289537336037,-0.04977477524863429,-0.08656200857452312,-0.007692773916296187,0.10303316396012854,0.03183038655471164,-0.03818029243528876,-0.002561008991537545,-0.14824502083717403,0.024022697486653453,0.015405061096364771,0.04843999962824882,0.018068274816999567,-0.015146200136604745,-0.020048551895506594,0.03498736375477676,-0.06781792329417588,-0.1383675429440302,-0.07586318825473493,-0.030296445172557404,-0.031845309887803507,0.06272158087240767,0.015236003718497445,0.031954806165159486,-0.002074672319889714,G-Transverse
grieta189.jpg,-0.7801136385629477,-0.17947379745350525,-0.04666033251228666,-0.044459260418776465,0.05047951971632457,-0.025064590497584797,-0.21009248996058927,-0.026793126092670018,-0.03281144267750556,-0.1550518381462163,-0.04444542211140574,-0.04903958436221189,-0.11259348306795969,-0.2525416453752372,-0.0841719556601352,0.09585211186148995,-0.010235846153744012,0.05924742560738278,0.051707536362991566,-0.09164373457787627,0.04509003651593835,-0.011114335152415233,0.06296991552949927,0.01508936008378295,0.04717807418396893,-0.09864553905894942,0.03359253905437657,-0.07162241319418562,-0.05627179841787437,0.01797582224873525,-0.0028593653815143657,-0.03537082373663999,-0.016353104060216804,0.019637096712272997,0.022791553948767845,-0.036155298841747,G-Transverse
grieta190.jpg,-0.7946659601967712,-0.14999189968241208,-0.046091666330987,-0.07518604883231507,0.1182021886249001,-0.021773736414332636,-0.11598442992891016,-0.011428859256496915,0.065575070456587,-0.15524894811608322,-0.07208608567451216,-0.09255979198314596,-0.1213944981394599,-0.20414616195840748,-0.04341714154991769,0.11057058593064634,-0.004102499804033186,0.13452589571149795,0.08117935146565956,0.03754294675901364,0.047238431146829137,0.006886782288963999,-0.03125946801654694,0.03453460030184515,0.06083303271008348,-0.10441247407443513,-0.010508364121329246,0.020845612509152702,0.05149038441085325,0.05996760655761437,0.03216344573817289,-0.019775474507723517,-0.09473887270130578,0.020192545891257657,0.022423470998461047,-0.03616071823266564,G-Transverse
grieta191.jpg,-0.7975832941821557,-0.11732459640111921,-0.050769817557373496,-0.079489260709887,0.1628486829865749,-0.020306110179449353,-0.024163045019502817,0.0014395218785767324,0.1550459885100587,-0.19841433522978627,-0.09922677134552431,-0.0699908359715656,-0.1153799096572063,-0.14150833526069526,-0.014424290175662676,0.04377580336643975,0.022954177090407653,0.10973624417809061,0.022830247339999603,0.13053020507469493,0.032592592574995145,0.018866738069245947,-0.09562706418461188,0.008364443001355512,-0.015170220116941989,-0.014573143333460313,-0.04258964010749195,0.02386059185711634,0.09664685941422826,0.0727326421361389,0.03855237178297044,0.05241326462240121,0.02189363354304857,-0.013588200027583278,-0.012740480396973976,-0.03367143222545474,G-Transverse
grieta192.jpg,-0.803569769067918,-0.07803087879174354,-0.04804822782636493,-0.0862248453601766,0.19800005942174273,-0.0047790621951675945,0.04476988754196121,0.008498960607731497,0.21352391662387238,-0.18301628330972022,-0.09921608727475256,0.0017510629606428936,-0.08127576047385068,-0.049637148476591314,0.027839014132765825,-0.027759310636352594,0.045033826488545765,0.03437872135241932,-0.054480427570081875,0.14922431312938875,-0.0007221725806780202,0.02262197150313231,-0.11545584430628832,-0.011579736425127923,-0.12196283695873385,0.0629140036023384,-0.005371180935411704,0.02318134314841077,0.02379497680268016,-4.222207642758474e-05,0.010416751243757565,0.025164436397147355,0.08944481804722414,0.0017246473324269084,-0.012463058102605737,-0.011814704329541523,G-Transverse
grieta193.jpg,-0.8742355499686433,-0.0584569768976888,0.043309593518986784,-0.07448349011754136,0.053486680234290915,0.005231237808272155,0.05829727691633286,0.021491494520845495,0.10879480036985911,0.060606007155869265,0.021624752693051807,0.10398319508335518,0.01947094152048488,-0.010548294075024105,0.023948577685593535,-0.08353160643974765,-0.009806281962319512,-0.040590009019011365,-0.008995774872331185,-0.10116986510543459,0.03197376342618497,-0.005939966096683885,0.053862386092077406,-0.009539240206134659,-0.01345404494996457,-0.0681856084038604,-0.012722815835138393,0.006476194661495086,0.019370334547068956,-0.055974323521276646,0.052186330103058766,0.024637764097219482,-0.04484650325409941,0.04833602883779162,0.03913846703099596,-0.053195839208766325,G-Transverse
grieta194.jpg,-0.8652509942736424,-0.061285067411753255,0.03366945429971623,-0.09448152397486796,0.06450494909190374,0.008211673781339272,0.028694985835774726,0.031927829986650585,0.022487726649029736,0.10227375223785971,0.03881797664368459,0.12592093320562758,0.02851573484799335,0.04820743141283575,0.004664191924547048,-0.034494588277116385,-0.026952632502704476,0.0267753552373273,0.05026327304364323,-0.10605424932962294,0.0012620149439163946,-0.019726255064855223,-0.03320390108053694,0.03398639883734558,0.03837573966902418,-0.05161049750580486,-0.035631955102768065,0.028017975407068924,0.002701804672590179,-0.05046680622677589,0.013618314842800563,0.06771697319277735,0.027937175225703187,0.025580038475328255,-0.046509847129135765,-0.06454965446393228,G-Transverse
grieta195.jpg,-0.8738947948152089,-0.056533379266701725,0.03046632218034187,-0.08975978499183558,0.07490660634165594,0.014061178650772593,0.016316020690752952,0.02750460092897714,-0.05839803692158899,0.10978658390131545,0.035107646987421075,0.11890469920068959,0.029373868535732463,0.0596395981216766,0.0003133156048221415,0.03747043007908051,-0.024968460727785503,0.040374388847203964,0.05404479659906501,-0.02259853896829155,-0.0048848719884657275,0.0055605269735377865,-0.08810731620564538,0.06822134395248272,0.006972857306962213,-0.015114010298437558,0.034291505473859,0.011468682740974111,-0.051313555263813364,0.008398424443344125,-0.0030227177108196183,0.015773373649351694,-0.0021465393599508368,0.019693723440432458,-0.08047560597254882,0.0405168179427317,G-Transverse
grieta196.jpg,-0.8764041831039925,-0.035257965224569254,0.041639349577741194,-0.07748341051788174,0.04854756560646389,0.017580240945061925,0.017830641278812665,0.03823269889760137,-0.12024951641902445,0.09074307553395389,0.029569178026511024,0.08922034916986395,0.028341369843622316,0.027243957499691142,-0.004881409767352221,0.06109006169716105,-0.003043030411228161,0.002196097622949643,0.0034811858346545026,0.09620643188568058,0.012026387832906124,0.03165707338386875,-0.02407455655386157,0.06451668487179163,-0.026436330719569672,0.006268826820149813,0.08611722347629404,-0.0332690214615496,-0.035391293010795175,0.061962731809279296,0.030263497010007624,-0.03312611170893883,-0.029269204940540847,0.05360864446189282,0.01248370328964776,0.022299543849229476,G-Transverse
grieta197.jpg,-0.8734485673786395,-0.01579965454182629,0.04209838944829767,-0.07277220324749631,0.0345031763628542,0.010144803994666444,0.012535798841059428,0.03899240020454223,-0.1409583972869106,0.0782884702844586,0.030608666078147273,-0.019059800269607588,0.007924397402975212,0.025036565904202467,0.017850177555493344,0.04640713576188415,-0.005286221727193859,-0.027992103797443532,-0.04017673391441637,0.12873096025167055,0.024599713883725397,0.030430566437244306,0.07151131387407679,-0.0045135397605393915,-0.034025806822574875,-0.01061361977483858,0.04182526160991372,-0.051950232161878676,0.020828633677818176,0.011028659651765334,0.0686171796340436,-0.004488396642382852,-0.003081867457140748,0.09263854339441964,0.058656964669900766,-0.04613078418183078,G-Transverse
grieta198.jpg,-0.8692434503191284,0.0003218082959187587,0.03874522514611428,-0.07745514287493185,0.021925210764377184,0.012107702304611867,-0.008810855297585237,0.034549430527460935,-0.15057821701063118,0.05302247727915177,0.029831318901041896,-0.09580655390701796,-0.004893622145157777,-0.02329557934320776,0.05144469369391263,-0.001897106036728126,-0.006895357477336028,-0.01674171425773218,-0.05721195239327013,0.08379980092852343,0.0193484787342843,0.007416024393031005,0.06757477234263846,-0.057002346431729384,-0.04451603192683751,-0.03617705857813317,-0.05022135956094646,-0.013768272430760595,0.02369997951393985,-0.07936809598506762,0.04665768914696274,0.04646572962786971,0.018272672393250575,0.0778610368792039,-0.0016444062576000727,-0.015839110096331356,G-Transverse
